,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,Year,UID,Salary,Cap%
30,Shane Battier,SF,34,MIA,72,20,24.8,2.1,5.0,1.9,4.4,0.2,0.6,0.4,0.5,0.5,1.8,2.3,1.0,0.6,0.8,0.5,2.1,6.6,2.8,1.6,4.4,0.9,0.1,1.0,1.4,2013,battish01,  3135000 ,0.05342626834131461
31,Nicolas Batum,SF,24,POR,73,73,38.5,4.8,11.4,2.3,6.1,2.6,5.3,2.4,2.9,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3,3.8,1.9,5.8,2.3,0.5,2.8,3.4,2013,batumni01,  10850000 ,0.18490430988939824
32,Jerryd Bayless,PG,24,MEM,80,4,22.1,3.3,7.8,0.9,2.5,2.4,5.3,1.3,1.5,0.3,1.9,2.2,3.3,0.7,0.2,1.5,2.1,8.7,1.5,2.5,4.0,-0.6,0.7,0.1,1.0,2013,bayleje01,  3000000 ,0.051125615637621635
33,Aron Baynes,C,26,SAS,16,0,8.8,1.1,2.3,0.0,0.1,1.1,2.2,0.4,0.8,0.8,1.3,2.0,0.3,0.1,0.4,0.7,1.4,2.7,0.0,0.2,0.1,-6.4,-0.6,-7.0,-0.2,2013,baynear01,  401170 ,0.006836687741781557
34,Kent Bazemore,SG,23,GSW,61,0,4.4,0.7,1.9,0.2,0.6,0.5,1.3,0.4,0.7,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2.0,-0.3,0.3,0.1,-3.1,0.7,-2.4,0.0,2013,bazemke01,  473604 ,0.008071098689480052
35,Bradley Beal,SG,19,WAS,56,46,31.2,5.0,12.3,1.6,4.2,3.4,8.1,2.2,2.8,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,1.0,2.0,3.0,0.0,0.2,0.2,1.0,2013,bealbr01,  4133280 ,0.07043882820088959
36,Michael Beasley,SF,24,PHO,75,20,20.7,4.1,10.2,0.6,1.9,3.5,8.3,1.3,1.7,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1,-2.5,1.0,-1.5,-2.7,-2.0,-4.7,-1.1,2013,beaslmi01,  5750000 ,0.09799076330544147
37,Rodrigue Beaubois,PG,24,DAL,45,0,12.2,1.4,3.9,0.5,1.6,1.0,2.3,0.7,0.8,0.2,1.1,1.3,1.9,0.4,0.1,0.7,1.2,4.0,0.0,0.4,0.4,-2.3,-0.3,-2.6,-0.1,2013,beaubro01,  2227333 ,0.03795792361833024
38,Marco Belinelli,SG,26,CHI,73,27,25.8,3.3,8.4,1.1,3.0,2.2,5.3,1.9,2.3,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6,1.3,1.6,3.0,-1.9,-0.4,-2.3,-0.1,2013,belinma01,  1957000 ,0.03335094326760851
39,Patrick Beverley,PG,24,HOU,41,0,17.4,1.9,4.6,0.9,2.3,1.0,2.3,0.8,1.0,1.1,1.6,2.7,2.9,0.9,0.5,1.1,2.0,5.6,1.4,0.8,2.2,1.7,2.1,3.8,1.0,2013,beverpa01,  281377 ,0.0047951907837556875
